Company Name,Growth Score,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Industry,Business Model,Keywords,Investors,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Has Google Play App,Has iTunes App,Months since last funding,Employees added since last funding,New person months since last funding,New funding employee growth,Date Added
8fit,544,468,147,https://mattermark.com/app/data/240880/,http://8fit.com,"8fit offers consumers custom workout plans and meals that are put together by a group of fitness and nutrition experts.",No,,,,fitness and wellness|mobile,B2C,android|fitness|health & wellness|nutrition,Arthur Kosten|Mark Evans|Vitamina K,23,23,0,0,14,9,64,24228,20434,19,16900,43,7911,7389,7,7354,8,9,9,0,9,0,29,16,81,118,62,90,3445,3391,2,2984,15,85,89,-4,81,111,-27,34,33,3,31,10,2014,Pre Series A,2500000,2015-08-31,2500000,palo alto,palo alto,,CA,usa,NA,Yes,Yes,Yes,6,10,47,53191.49,2014-02-12
nicetrails.com,527,527,760,https://mattermark.com/app/data/11314126/,http://nicetrails.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,801,739,8,,,,,,,,,1061,912,16,,,3,3,0,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-21
Livecoding.tv,498,498,11,https://mattermark.com/app/data/10921715/,http://livecoding.tv,"Livecoding.tv is a livestreaming platform to watch live coding products and programming languages they love. It is all about the social experience of live coding.",No,,,,education|social networking,B2B|B2C,web design,Y Combinator|YC Summer 2015,,,,,,,,669975,618310,8,542851,23,,,,,,4359,4278,2,4141,5,,,,,,,6334,6268,1,5997,6,214,214,0,566,355,59,,,,,,,Pre Series A,120000,2015-08-01,120000,bay area,mountain view,bay area,CA,usa,NA,No,No,No,7,,,0,2015-02-26
Kickresume,430,430,34,https://mattermark.com/app/data/177824/,http://kickresume.com,"Kickresume is online resume builder which helps you to create outstanding resumes. Just fill in your information, customise resume template and download PDF in minutes.",No,,,,career / job search|e-commerce|human resources|human resources hr,B2B|B2C,recruiting,,7,6,1,17,6,1,17,26051,24816,5,19371,34,,,,,,2434,2420,1,2384,2,0,5,-100,8,9,-11,2522,2499,1,2243,12,66,66,0,378,274,38,5,5,0,4,25,,No Known Funding,,,,bratislava,bratislava,,,svk,EU,No,No,No,,,,,2013-08-30
oblumi.com,417,417,332,https://mattermark.com/app/data/11309257/,http://oblumi.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,1021,1016,0,,,,,,,,,1966,1941,1,,,134,134,0,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
CallPage.io,400,400,112,https://mattermark.com/app/data/11098867/,http://callpage.io,"Callpage is widget that help get 75% more calls from clients of your website.",No,,,,telecommunications,B2B|Lead Generation|SaaS,customer service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,585,8,492,28,126,,,36,33,9,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-09-12
SAVY,382,382,201,https://mattermark.com/app/data/10901501/,http://savy.lt,"",No,,,,,,,,1,,,,,,,33720,30015,12,14161,138,,,,,,,,,,,,,,,,,1886,,,,,,,,,,,6,,,,,2014,No Known Funding,,,,vilnius,vilnius,,,ltu,EU,No,No,No,,,,,2014-12-17
satismeter.com,373,373,-106,https://mattermark.com/app/data/10889494/,http://satismeter.com,"Simple, reliable and integrated measurement of Net Promoter Score",No,,,,,B2B|SaaS,crm|productivity|relationship management|small & medium sized business,,2,2,0,0,2,0,0,15972,14391,11,15693,2,,,,,,87,88,-1,89,-2,,,,,,,9,9,0,7,29,4,5,-20,1,1,0,2,2,0,2,0,,No Known Funding,,,,prague,prague,,,cze,EU,No,No,No,,,,,2014-12-11
upcom.eu,340,340,0,https://mattermark.com/app/data/11309367/,http://upcom.eu,"",No,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,309,309,0,,,2,2,0,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
BudgetBakers,336,336,387,https://mattermark.com/app/data/11053728/,http://budgetbakers.com,"Wallet by BudgetBakers, is for individuals and families who worry about not knowing where their money goes.",No,,,,,,,,,,,,,,,,,,,,,,,,,726,714,2,679,7,,,,,,,733,719,2,652,12,28,28,0,59,59,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-08-21
Syncee,332,332,-568,https://mattermark.com/app/data/11234138/,http://syncee.io,"Syncee is a cloud based data exchange service for ecommerce companies.",No,,,,cloud computing|e-commerce,B2B|SaaS,,,,,,,,,,,,,,,,,,,,1274,1290,-1,1251,2,,,,,,,749,744,1,659,14,12,12,0,23,22,5,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-11-07
foodpairing.com,327,327,25,https://mattermark.com/app/data/11175413/,http://foodpairing.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,6715,6692,0,6587,2,,,,,,,27112,26991,0,26885,1,66,66,0,118,118,0,,,,,,,No Known Funding,,,,,,,,,,Yes,No,Yes,,,,,2015-10-27
GraphyStories,311,311,30,https://mattermark.com/app/data/11008512/,http://graphystories.com,"GraphyStories is the new tool for media professionals. It delivers social media insights about Facebook, Instagram, Youtube, Twitter, Linkedin and the main",No,,,,,B2B|SaaS,,,,,,,,,,797,1415,-44,1363,-42,,,,,,1732,1745,-1,1709,1,,,,,,,78,78,0,71,10,2,7,-71,5,5,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-06-18
Coachademy,302,302,347,https://mattermark.com/app/data/11150900/,http://coachademy.com,"Coachademy is a mobile app for on-demand Corporate Coaching, specifically targeting stress and wellness at work.",No,,,,mobile,B2B|B2C,health & wellness,,,,,,,,,,,,,,,,,,,950,940,1,907,5,,,,,,,556,546,2,523,6,25,25,0,72,43,67,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-10-10
nnergix.com,301,301,43,https://mattermark.com/app/data/11309253/,http://nnergix.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,1577,1578,0,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Worktoday App,297,297,514,https://mattermark.com/app/data/11244129/,http://worktodayapp.com,"Get jobs without interviews or selection processes, to merge immediately.",No,,,,,,,,,,,,,,,,,,,,,,,,,1656,1633,1,1589,4,,,,,,,1212,1180,3,1158,5,46,46,0,18,18,0,,,,,,,No Known Funding,,,,,pozuelo de alarcón,,,esp,EU,Yes,Yes,No,,,,,2015-11-13
bitprojects.de,296,296,167,https://mattermark.com/app/data/11309431/,http://bitprojects.de,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,11,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Wazypark,293,293,438,https://mattermark.com/app/data/11060988/,http://wazypark.com,"Find available parking spaces on street and stay connected to your car all day long.",No,,,,,,,,,,,,,,,488,454,7,,,,,,,,6632,6531,2,5946,12,,,,,,,1986,1907,4,1713,16,161,161,0,62,62,0,,,,,,,No Known Funding,,,,,,,,,,Yes,Yes,No,,,,,2015-08-21
Sherlock Srl,291,291,-619,https://mattermark.com/app/data/11255235/,http://sherlock.bike,"",No,,,,,,internet of things,,,,,,,,,,,,,,,,,,,375,369,2,344,9,,,,,,,1068,1063,0,916,17,21,21,0,310,310,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-12-11
PUBLICFAST,291,291,1166,https://mattermark.com/app/data/226227/publicfast,http://publicfast.com,"Platform for promotion through opinion leaders social reach",No,,,,advertising|analytics|marketing|media,B2C,advertising platform|big data|social media|social media marketing,,9,8,1,13,6,3,50,1862,1403,33,1484,25,,,,,,2233,2231,0,2225,0,0,0,,0,0,,2536,2519,1,2462,3,24,24,0,37,37,0,39,38,3,35,11,2013,Pre Series A,300000,2013-12-13,300000,kiev,kiev,,,ukr,EU,No,No,No,27,1,20,15000,2013-12-26
Huballin,290,290,0,https://mattermark.com/app/data/10915568/,http://huballin.com,"Content Marketing just got easier with our online  platform. Order unique content written by professional writers to  increase traffic, leads and customers.",No,,,,marketing|media,B2B,sales|seo|small & medium sized business,,3,3,0,0,,,,1102,1033,7,666,65,,,,,,,,,,,,,,,,,78,78,0,76,3,3,3,0,3,3,0,8,8,0,,,,No Known Funding,,,,barcelona,barcelona,,,esp,EU,No,No,No,,,,,2015-02-04
holonix.it,283,283,34,https://mattermark.com/app/data/11309473/,http://holonix.it,"",No,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
bitcalm.com,282,282,0,https://mattermark.com/app/data/297102/,http://bitcalm.com,"We offer you backup your servers and filesystems. You can save your web sites, media files, configurations and databases with our backup service. We will protect your progress!",No,,,,cloud computing|data storage|storage,B2B|SaaS,,,3,3,0,0,4,-1,-25,5178,5318,-3,7410,-30,,,,,,1698,1699,0,1713,-1,3,0,,5,8,-38,181,179,1,180,1,1,,,1,1,0,4,4,0,3,33,2014,No Known Funding,,,,tallinn,tallinn,,,est,EU,No,No,No,,,,,2014-07-03
uc.pt,274,252,-31,https://mattermark.com/app/data/281642/,http://uc.pt,"",No,,,,education,,,Portugal Ventures,10,10,0,0,,,,642582,639629,0,672551,-4,,,,,,,,,,,,,,,,,8730,8719,0,8453,3,45,45,0,47,,,227,216,5,188,21,,Pre Series A,0,,,coimbrã,coimbrã,,,prt,EU,No,No,No,,,,,2014-05-31
Agrivi,268,268,518,https://mattermark.com/app/data/244903/,http://agrivi.com,"Farm management software helps farmers to improve farm productivity and profitability. Trusted by thousands of farmers from over 150 countries. Sign up for",No,,,,agriculture,B2B|SaaS,,,12,12,0,0,10,2,20,10604,10024,6,5603,89,,,,,,660,660,0,636,4,1,0,,3,20,-85,19880,19465,2,17958,11,321,321,0,1878,1878,0,162,156,4,140,16,2013,Pre Series A,135000,2014-01-30,135000,london,london,london,,gbr,EU,Yes,Yes,No,25,6,64,2109.38,2014-02-25
ezzing.com,256,256,356,https://mattermark.com/app/data/11309527/,http://ezzing.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,131,131,0,,,,,,,,,316,315,0,,,10,10,0,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
greenapes.com,256,256,325,https://mattermark.com/app/data/11309466/,http://greenapes.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,517,515,0,,,,,,,,,3519,3428,3,,,208,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Green momit SL,247,247,-37,https://mattermark.com/app/data/10994736/,http://momit.com,"momit, a specialist in the Internet of Things (IoT), is constantly developing efficient, innovative and smart solutions that are fully market compatible",No,,,,,,internet of things,,,,,,,,,977,1188,-18,2018,-52,,,,,,949,950,0,927,2,,,,,,,1345,1342,0,1326,1,62,62,0,60,57,5,,,,,,,No Known Funding,,,,madrid,madrid,,,esp,EU,No,No,No,,,,,2015-05-25
Lingua.ly,247,263,-452,https://mattermark.com/app/data/96296/,http://lingua.ly,"Lingua.ly -- a brand new way to learn a language",No,,,,education|mobile,B2C,language learning,,10,10,0,0,13,-3,-23,70135,56518,24,86011,-18,,2560,,3337,,2332,2317,1,2260,3,10,8,25,30,39,-23,10235,10212,0,10180,1,76,76,0,462,462,0,233,232,0,229,2,2011,A,1500000,2015-03-11,1000000,tel aviv,tel aviv,,,isr,AS,Yes,Yes,Yes,12,-4,26,38461.54,2013-04-04
limetri.eu,246,246,33,https://mattermark.com/app/data/11309211/,http://limetri.eu,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,0,,,8,8,0,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
